,issue_date,contact_1_name,latitude,longitude
211,2006-05-10,"NEWTECH ENGINEERING, LTD.",41.84970609,-87.632089559
214,2006-05-11,G & H ELECTRIC,41.967448316,-87.781252186
216,2007-07-07,CENTRAL-DAKOTA ELECTRIC CO.,41.942171118,-87.640559133
219,2007-08-28,CANINO ELECTRIC COMPANY,41.887874848,-87.630884851
223,2006-05-10,ALEX'S ELECTRIC,41.993086521,-87.673221296
229,2006-05-10,ALEX'S ELECTRIC,41.756564882,-87.627819434
231,2007-07-07,SHARLEN ELECTRIC COMPANY,41.667187552,-87.544283248
233,2007-07-07,SHARLEN ELECTRIC COMPANY,41.667187552,-87.544283248
241,2006-05-10,"BEE-JAY'S ELECTRICAL, HEATING",41.764775049,-87.602023134
243,2006-05-11,J.M. ELECTRIC,41.846518905,-87.698814125
246,2006-05-11,TELEPLUS INC.,41.886025413,-87.636297703
249,2008-11-19,M.P.E.A. (MC CORMICK PLACE),41.852075574,-87.618850804
269,2006-05-10,CONTINENTAL ELECTRICAL CONSTRU,41.851046675,-87.622093085
